,Kho trung tam Vinh,Khach hang 01,Khach hang 02,Khach hang 03,Khach hang 04,Khach hang 05,Khach hang 06,Khach hang 07,Khach hang 08,Khach hang 09,Khach hang 10,Khach hang 11,Khach hang 12,Khach hang 13,Khach hang 14,Khach hang 15,Khach hang 16,Khach hang 17,Khach hang 18,Khach hang 19,Khach hang 20,Khach hang 21,Khach hang 22,Khach hang 23,Khach hang 24,Khach hang 25,Khach hang 26,Khach hang 27,Khach hang 28,Khach hang 29,Khach hang 30,Khach hang 31,Khach hang 32,Khach hang 33,Khach hang 34,Khach hang 35,Khach hang 36,Khach hang 37,Khach hang 38,Khach hang 39,Khach hang 40,Khach hang 41,Khach hang 42,Khach hang 43,Khach hang 44,Khach hang 45,Khach hang 46,Khach hang 47,Khach hang 48,Khach hang 49,Khach hang 50,Khach hang 51,Khach hang 52,Khach hang 53,Khach hang 54,Khach hang 55,Khach hang 56,Khach hang 57,Khach hang 58,Khach hang 59,Khach hang 60,Khach hang 61,Khach hang 62,Khach hang 63,Khach hang 64,Khach hang 65,Khach hang 66,Khach hang 67,Khach hang 68,Khach hang 69,Khach hang 70,Khach hang 71,Khach hang 72,Khach hang 73,Khach hang 74,Khach hang 75,Khach hang 76,Khach hang 77,Khach hang 78,Khach hang 79,Khach hang 80,Khach hang 81,Khach hang 82,Khach hang 83,Khach hang 84,Khach hang 85,Khach hang 86,Khach hang 87,Khach hang 88,Khach hang 89,Khach hang 90,Khach hang 91,Khach hang 92,Khach hang 93,Khach hang 94,Khach hang 95,Khach hang 96,Khach hang 97,Khach hang 98,Khach hang 99,Khach hang 100
Khach hang 10,0.7579,0.4814,2.2673,1.6123,1.9012,1.4404,1.4253,1.5918,0.6898,0.6390,0.0000,1.8091,0.1729,2.5167,0.3384,2.2226,2.2088,1.2984,1.7322,1.7976,2.6902,1.7371,1.8707,1.6645,0.2756,2.9406,1.4849,0.5450,3.0224,1.6687,1.4455,1.7064,3.0224,1.5896,1.1889,0.9385,1.8050,1.9457,1.8707,1.2406,1.7973,2.8030,2.4105,1.7366,2.1742,1.0794,0.9973,2.8108,0.7023,1.4395,1.3760,0.7186,0.7418,1.3777,1.8362,3.0224,2.7496,0.2239,2.9588,1.7197,2.9067,3.0339,1.8698,1.6687,0.4312,1.2054,1.7248,1.8707,1.9457,2.9209,2.1944,2.5130,2.5504,2.7012,1.3916,1.0155,1.2077,1.7855,0.8994,1.6197,2.4327,1.4210,0.8846,1.2556,0.4499,1.6211,1.0754,0.7828,2.3656,2.9406,1.7197,0.2484,0.9595,2.9433,2.6327,1.2824,1.9457,1.0586,0.4484,2.8357,0.2507
Khach hang 11,1.2880,1.7441,1.5025,0.2285,0.7056,1.8329,1.2881,1.3341,1.2846,1.5447,1.8060,0.0000,1.9081,1.7468,1.4993,1.6956,1.6815,0.5809,0.1085,1.9210,1.9168,1.2467,0.5503,0.9139,1.6062,2.1620,0.4984,1.5477,2.2422,1.5304,0.8192,2.0989,2.2422,1.2923,1.2799,0.9669,1.7609,0.7518,0.5503,0.9848,1.7529,2.0697,1.6428,0.8335,1.6463,1.8216,1.1839,2.0348,1.7531,1.5701,1.7686,1.1276,1.7108,1.7702,0.5086,2.2422,1.9749,1.6597,2.1798,1.9864,2.1288,2.2533,0.6731,1.5304,1.3467,0.9496,1.6777,0.5503,0.7518,2.1427,1.6669,1.7432,1.7798,1.9275,0.4675,0.9850,1.6932,1.0694,1.4590,0.3585,1.6645,1.1652,1.1536,1.0033,1.3644,1.5701,0.8604,1.1559,1.5988,2.1620,1.9864,1.7712,1.6643,2.2099,1.8604,1.0266,0.7518,1.0280,1.6246,2.0592,1.9831
Khach hang 12,0.8559,0.4889,2.3673,1.7103,1.9992,1.4351,1.4963,1.6287,0.7878,0.7371,0.1687,1.9072,0.0000,2.6168,0.4401,2.2936,2.2798,1.3965,1.8302,1.8671,2.7903,1.8066,1.9688,1.7625,0.3636,3.0407,1.5829,0.6431,3.1225,1.7382,1.5436,1.7012,3.1225,1.6591,1.2584,1.0365,1.8745,2.0438,1.9688,1.3386,1.8668,2.9031,2.5106,1.8367,2.2452,1.0742,1.0953,2.9108,0.7095,1.5090,1.3708,0.7905,0.7490,1.3724,1.9343,3.1225,2.8497,0.3256,3.0589,1.7145,3.0068,3.1339,1.9679,1.7382,0.5292,1.3034,1.7943,1.9688,2.0438,3.0210,2.2654,2.6131,2.6505,2.8012,1.4897,1.1172,1.2025,1.8856,0.9974,1.7177,2.5327,1.5190,0.9827,1.2994,0.5479,1.6906,1.1734,0.8808,2.4657,3.0407,1.7145,0.2559,1.0290,3.0434,2.7328,1.3804,2.0438,1.1603,0.5329,2.9358,0.2081
Khach hang 13,2.2021,2.4674,0.6024,1.8084,1.5474,2.3104,1.3817,1.2105,2.2381,2.2021,2.7624,2.0127,2.8667,0.0000,2.4199,0.9912,0.9773,1.7106,1.9328,1.6054,0.1735,1.3533,2.3848,1.4311,2.6135,0.9656,2.5004,2.2431,1.0474,1.4412,2.5206,2.2837,1.0474,1.3489,1.7459,1.9785,1.5770,1.5292,2.3848,1.5709,1.5812,0.8280,0.2926,1.1871,0.9427,2.2989,2.5049,0.2940,2.3124,2.0422,2.2448,2.3710,2.2300,2.2464,2.3432,1.0474,0.7746,2.6098,0.7891,2.0328,0.4280,1.0589,1.5148,1.4412,2.4529,1.5903,1.6430,2.3848,1.5292,0.9459,0.9629,0.0168,0.0542,0.1844,1.5629,2.3615,2.1679,0.9805,1.9345,2.1931,0.5152,1.4116,2.0389,1.7155,2.4411,1.4433,1.9928,2.0412,0.3582,0.9656,2.0328,2.6683,2.1918,0.4253,0.3117,1.6016,1.5292,2.3546,2.3452,0.4560,2.9432
Khach hang 14,0.4440,0.2792,1.9468,1.2984,1.5873,1.0923,1.0700,1.2365,0.3759,0.2910,0.3369,1.4952,0.4428,2.1963,0.0000,1.8673,1.8535,0.9845,1.4183,1.5041,2.3698,1.3890,1.5568,1.3506,0.3581,2.6201,1.1710,0.1970,2.7020,1.3207,1.1316,1.3583,2.7020,1.2415,0.8408,0.6246,1.5118,1.6318,1.5568,0.9267,1.5038,2.4826,2.0901,1.4162,1.8189,0.7313,0.9739,2.4903,0.4682,1.0914,1.0280,0.6544,0.4664,1.0296,1.5223,2.7020,2.4291,0.1916,2.6383,1.3717,2.5863,2.7134,1.5560,1.3207,0.3931,0.8915,1.3767,1.5568,1.6318,2.6005,1.8391,2.1926,2.2300,2.3807,1.0777,0.9231,0.8597,1.4650,0.5878,1.3058,2.1122,1.1071,0.5707,0.9003,0.3816,1.2731,0.7615,0.4689,2.0451,2.6201,1.3717,0.2962,0.6345,2.6228,2.3122,0.9685,1.6318,0.9646,0.1773,2.5152,0.5206
Khach hang 15,1.6522,1.9175,0.4633,1.4913,1.2303,1.2493,0.8148,0.6470,1.6882,1.6522,2.2125,1.6956,2.3168,0.9920,1.8700,0.0000,0.0138,1.5262,1.6157,0.6345,1.1655,0.8147,2.0677,1.1139,2.0636,1.4159,1.9618,1.6932,1.4977,0.4408,1.9820,1.3128,1.4977,0.7826,0.8765,1.3993,0.6062,1.2120,2.0677,1.0000,0.6103,1.2783,0.7139,0.8700,0.0484,1.5268,1.9662,1.2860,1.7625,1.2319,1.2007,1.7838,1.6457,1.1991,2.0261,1.4977,1.2249,2.0599,1.4341,1.0619,1.3820,1.5091,1.1977,0.4408,1.9030,1.0191,0.6975,2.0677,1.2120,1.3962,0.0282,0.9883,0.9061,1.1764,1.2458,1.7745,1.3985,0.6978,1.3846,1.8760,0.9079,0.9058,1.4585,1.1656,1.8912,0.4428,1.4133,1.4607,0.8408,1.4159,1.0619,2.1184,1.6083,1.4185,1.1079,1.0302,1.2120,1.8160,1.7953,1.3110,2.3933
Khach hang 16,1.6383,1.9036,0.4493,1.4773,1.2162,1.2628,0.8012,0.6335,1.6743,1.6384,2.1987,1.6815,2.3029,0.9782,1.8562,0.0138,0.0000,1.5126,1.6017,0.6481,1.1517,0.8012,2.0536,1.0999,2.0497,1.4020,1.9483,1.6794,1.4839,0.4544,1.9684,1.3264,1.4839,0.7691,0.8906,1.3857,0.6197,1.1980,2.0536,0.9865,0.6239,1.2645,0.7000,0.8559,0.0346,1.5403,1.9527,1.2722,1.7486,1.2455,1.2143,1.7703,1.6321,1.2126,2.0120,1.4839,1.2110,2.0461,1.4202,1.0755,1.3682,1.4953,1.1837,0.4544,1.8891,1.0055,0.7115,2.0536,1.1980,1.3824,0.0144,0.9745,0.8922,1.1626,1.2317,1.7609,1.4120,0.6838,1.3708,1.8619,0.8941,0.8918,1.4449,1.1518,1.8774,0.4564,1.3997,1.4472,0.8270,1.4020,1.0755,2.1045,1.5947,1.4047,1.0941,1.0166,1.1980,1.8024,1.7815,1.2971,2.3795
Khach hang 17,0.7390,1.2334,1.2113,0.3766,0.6519,1.4070,0.8623,0.9083,0.7739,0.9958,1.2953,0.5809,1.3974,1.4861,0.9886,1.5262,1.5126,0.0000,0.5010,1.4791,1.6596,0.9446,0.9530,0.5136,1.0955,1.9100,0.6424,1.0370,1.9918,1.0885,0.6633,1.6730,1.9918,0.8504,0.8540,0.4370,1.3190,0.7226,0.9530,0.5589,1.3110,1.7724,1.3516,0.5121,1.4787,1.3427,0.6303,1.7801,1.2294,1.1442,1.3427,0.5760,1.1619,1.3443,0.9114,1.9918,1.7190,1.1490,1.9282,1.5605,1.8761,2.0032,0.6205,1.0885,0.8168,0.5237,1.2357,0.9530,0.7226,1.8903,1.4985,1.4824,1.5198,1.6705,0.1477,0.4385,1.2674,0.7394,0.9291,0.7613,1.4020,0.7393,0.5938,0.5774,0.8537,1.1282,0.3497,0.6069,1.3350,1.9100,1.5605,1.2605,1.1902,1.9127,1.5692,0.6008,0.7226,0.4800,1.1139,1.8051,1.4724
Khach hang 18,1.2110,1.6671,1.4255,0.1487,0.5978,1.7559,1.2112,1.2572,1.2077,1.4677,1.7291,0.1085,1.8311,1.6699,1.4223,1.6157,1.6017,0.5010,0.0000,1.8412,1.8398,1.1668,0.5045,0.8341,1.5292,2.1286,0.4278,1.4707,2.1652,1.4505,0.7711,2.0219,2.1652,1.1685,1.2029,0.8871,1.6811,0.6778,0.5045,0.9078,1.6730,1.9911,1.5658,0.7536,1.5665,1.7446,1.0640,1.9578,1.6762,1.4931,1.6916,1.0097,1.6339,1.6932,0.4629,2.1652,1.9376,1.5828,2.1469,1.9094,2.0948,2.1764,0.5949,1.4505,1.2668,0.8726,1.5978,0.5045,0.6778,2.0658,1.5870,1.6662,1.7028,1.8505,0.3876,0.8723,1.6163,0.9895,1.3820,0.3128,1.5875,1.0882,1.0767,0.9263,1.2874,1.4362,0.7834,1.0789,1.5218,2.1286,1.9094,1.6943,1.5874,2.1313,1.7834,0.9497,0.6778,0.9138,1.5477,2.0237,1.9061
Khach hang 19,1.2664,1.5629,1.1217,1.7168,1.6819,0.5783,0.8005,0.7502,1.3030,1.2664,1.7693,1.9210,1.8714,1.6062,1.4878,0.6345,0.6481,1.4791,1.8412,0.0000,1.8133,1.2365,2.2931,1.5655,1.6234,2.0637,1.9312,1.3081,2.1455,0.4658,1.9521,0.6688,2.1455,1.1595,0.9411,1.3474,0.1685,1.6636,2.2931,1.0217,0.1770,1.9261,1.3338,1.3216,0.6820,0.8374,1.9357,1.9338,1.2746,0.5593,0.5252,1.7735,1.2105,0.5234,2.2515,2.1455,1.8727,1.6808,2.0819,0.3879,2.0298,2.1569,1.6493,0.4658,1.5213,1.0425,0.4240,2.2931,1.6636,2.0440,0.6622,1.6026,1.5220,1.8242,1.4720,1.7368,0.7042,1.1941,0.9944,2.1014,1.5557,1.2969,1.2260,1.0089,1.5094,0.4616,1.3620,1.4834,1.4581,2.0637,0.3879,1.7029,1.2319,2.0664,1.7198,0.9545,1.6636,1.7798,1.4387,1.9588,1.9464
Khach hang 20,2.2049,2.4702,0.6052,1.8113,1.5502,2.3132,1.3845,1.2132,2.2409,2.2049,2.7652,2.0155,2.8695,0.0229,2.4227,0.9939,0.9801,1.7134,1.9357,1.6081,0.0000,1.3561,2.3876,1.4339,2.6162,1.0259,2.5032,2.2459,1.1077,1.4440,2.5233,2.2864,1.1077,1.3517,1.7487,1.9812,1.5797,1.5320,2.3876,1.5737,1.5839,0.8883,0.3008,1.1899,0.9455,2.3017,2.5076,0.3170,2.3152,2.0450,2.2476,2.3738,2.2328,2.2492,2.3460,1.1077,0.8349,2.6126,0.8116,2.0355,0.4509,1.1191,1.5177,1.4440,2.4557,1.5931,1.6458,2.3876,1.5320,1.0062,0.9657,0.0251,0.0625,0.2073,1.5657,2.3643,2.1707,0.9833,1.9373,2.1959,0.5180,1.4143,2.0417,1.7183,2.4439,1.4461,1.9955,2.0440,0.3610,1.0259,2.0355,2.6710,2.1946,0.4483,0.3341,1.6044,1.5320,2.3573,2.3480,0.4789,2.9460
Khach hang 21,1.1783,1.4382,0.8577,1.0391,0.8189,1.2845,0.3889,0.2708,1.2136,1.1784,1.7272,1.2434,1.8293,1.1667,1.3917,0.8147,0.8012,0.9413,1.1635,1.2365,1.3367,0.0000,1.6155,0.6618,1.5813,1.6150,1.5791,1.2185,1.6621,0.5310,1.5420,1.5505,1.6621,0.2833,0.7315,0.9593,0.8284,0.7997,1.6155,0.5811,0.8199,1.4774,1.0627,0.4397,0.7673,1.2731,1.5262,1.4547,1.2864,1.0217,1.2201,1.3438,1.2057,1.2218,1.5739,1.6621,1.4240,1.5777,1.6332,1.4379,1.5812,1.6733,0.7846,0.5310,1.4240,0.6009,0.8115,1.6155,0.7997,1.5627,0.7870,1.1631,1.1997,1.3474,0.7936,1.3345,1.1448,0.4609,0.9162,1.4238,1.0844,0.2449,1.0185,0.7017,1.4125,0.5603,1.0099,1.0207,1.0187,1.6150,1.4379,1.6350,1.1683,1.6177,1.2803,0.6124,0.7997,1.3760,1.3185,1.5101,1.9043
Khach hang 22,1.4629,1.9285,1.9311,0.6007,1.0777,2.1915,1.6467,1.6927,1.4518,1.7293,1.9928,0.5503,2.0988,2.1054,1.6745,2.0677,2.0536,0.9530,0.5045,2.2931,2.2754,1.6188,0.0000,1.2860,1.7854,2.5206,0.5044,1.7247,2.6008,1.9025,0.7890,2.4575,2.6008,1.6644,1.6385,1.2101,2.1330,1.1240,0.0000,1.3940,2.1250,2.3858,2.0014,1.2056,2.0184,2.1802,1.3472,2.3934,1.9456,1.9287,2.1272,1.2464,1.9017,2.1288,0.1040,2.6008,2.3335,1.8410,2.5384,2.3450,2.4874,2.6120,1.0452,1.9025,1.4655,1.3575,2.0498,0.0000,1.1240,2.5013,2.0390,2.1018,2.1384,2.2861,0.8396,1.0834,2.0518,1.4415,1.6404,0.4591,2.0231,1.5238,1.5122,1.3619,1.5345,1.9422,1.0589,1.3258,1.9574,2.5206,2.3450,1.9567,1.9311,2.5232,2.2190,1.4374,1.1240,1.0377,1.8046,2.4178,2.1765
Khach hang 23,0.6737,1.2334,1.3790,0.7594,0.7022,1.2186,0.6738,0.7198,0.7280,0.9499,1.2954,0.9563,1.3975,1.6284,1.0093,1.3377,1.3242,0.5304,0.8793,1.2836,1.8019,0.8044,1.3644,0.0000,1.1184,2.0523,1.0024,1.0587,2.1341,0.8929,0.9862,1.4846,2.1341,0.6549,0.6656,0.4801,1.1235,0.7485,1.3644,0.3705,1.1154,2.0246,1.5223,0.4739,1.2903,1.2325,0.9705,1.9225,1.1626,0.9558,1.1784,0.7581,1.0965,1.1801,1.2748,2.1341,1.9681,1.1491,2.0705,1.3720,2.0185,2.1456,0.6697,0.8929,0.8852,0.3353,1.0402,1.3644,0.7485,2.0327,1.3101,1.6247,1.6621,1.8129,0.5236,0.7787,1.1015,0.8972,0.8624,1.1301,1.6330,0.5509,0.5393,0.3890,0.8537,0.9327,0.4175,0.5416,1.4773,2.0523,1.3720,1.2869,1.0500,2.1729,1.7444,0.4123,0.7485,0.8202,1.1954,2.0591,1.4724
