,Kho trung tam Vinh,Khach hang 01,Khach hang 02,Khach hang 03,Khach hang 04,Khach hang 05,Khach hang 06,Khach hang 07,Khach hang 08,Khach hang 09,Khach hang 10,Khach hang 11,Khach hang 12,Khach hang 13,Khach hang 14,Khach hang 15,Khach hang 16,Khach hang 17,Khach hang 18,Khach hang 19,Khach hang 20,Khach hang 21,Khach hang 22,Khach hang 23,Khach hang 24,Khach hang 25,Khach hang 26,Khach hang 27,Khach hang 28,Khach hang 29,Khach hang 30,Khach hang 31,Khach hang 32,Khach hang 33,Khach hang 34,Khach hang 35,Khach hang 36,Khach hang 37,Khach hang 38,Khach hang 39,Khach hang 40,Khach hang 41,Khach hang 42,Khach hang 43,Khach hang 44,Khach hang 45,Khach hang 46,Khach hang 47,Khach hang 48,Khach hang 49,Khach hang 50,Khach hang 51,Khach hang 52,Khach hang 53,Khach hang 54,Khach hang 55,Khach hang 56,Khach hang 57,Khach hang 58,Khach hang 59,Khach hang 60,Khach hang 61,Khach hang 62,Khach hang 63,Khach hang 64,Khach hang 65,Khach hang 66,Khach hang 67,Khach hang 68,Khach hang 69,Khach hang 70,Khach hang 71,Khach hang 72,Khach hang 73,Khach hang 74,Khach hang 75,Khach hang 76,Khach hang 77,Khach hang 78,Khach hang 79,Khach hang 80,Khach hang 81,Khach hang 82,Khach hang 83,Khach hang 84,Khach hang 85,Khach hang 86,Khach hang 87,Khach hang 88,Khach hang 89,Khach hang 90,Khach hang 91,Khach hang 92,Khach hang 93,Khach hang 94,Khach hang 95,Khach hang 96,Khach hang 97,Khach hang 98,Khach hang 99,Khach hang 100
Khach hang 10,3.1169,2.0887,8.4724,6.5742,7.7120,5.7953,5.3219,5.9840,2.7527,2.5425,0.0000,7.5029,0.8572,8.9502,1.5642,8.3243,8.2728,5.2040,7.0941,7.8389,9.5766,6.9110,7.4756,6.8222,1.3911,10.4137,6.3823,2.1880,10.7961,6.8242,5.6927,6.9710,10.7961,6.2107,4.7689,3.8203,7.8243,8.0079,7.4756,4.9021,7.7805,9.8370,8.6309,6.3964,8.1439,4.3751,3.9979,10.0098,3.0864,6.0853,5.5029,3.0583,3.1176,5.5121,7.2563,10.7961,9.7269,1.1030,10.5110,7.2194,10.3206,10.8593,7.5797,6.8242,1.7759,4.7379,7.3715,7.4756,8.0079,10.4340,8.2191,8.9424,9.0783,9.6148,5.5623,4.4238,4.8630,6.5796,3.5229,6.5107,8.5715,5.6655,3.5765,4.7578,1.8671,6.7869,4.2539,3.1248,8.4256,10.4137,7.2194,1.1057,4.0964,10.3620,9.5331,5.1246,8.0079,4.6053,2.1850,10.0139,1.1323
Khach hang 11,5.2833,7.2445,6.5230,1.1114,3.4096,7.3886,5.2782,5.7233,5.4183,6.2230,7.4963,0.0000,7.9558,7.0009,6.2667,7.5803,7.5288,2.5759,0.5605,8.6510,7.6272,5.7666,2.7030,4.1289,6.6628,8.4644,2.3659,6.3771,8.8468,6.6782,3.9062,8.5643,8.8468,5.5555,5.3363,4.2184,7.7806,3.7054,2.7030,4.2224,7.7368,7.8877,6.6816,3.6171,7.3999,7.3004,5.0640,8.0604,6.9915,6.5968,7.0961,4.8189,6.9106,7.1054,2.4767,8.8468,7.7776,6.9547,8.5617,8.3272,8.3713,8.9099,3.2773,6.6782,5.8315,4.0583,7.3278,2.7030,3.7054,8.4847,7.4751,6.9931,7.1290,7.6654,2.1250,4.1928,6.8126,4.6303,5.8388,1.7404,6.6222,4.9858,4.7719,4.2119,5.8853,6.7432,3.7711,4.7550,6.4763,8.4644,8.3272,7.3264,7.0851,8.4126,7.5838,4.4449,3.7054,4.3742,6.7812,8.0646,8.2308
Khach hang 12,3.5323,2.0959,8.8878,6.9896,8.1275,5.9216,5.6933,6.3553,3.1681,2.9579,0.8132,7.9183,0.0000,9.3656,1.9796,8.6956,8.6441,5.6195,7.5095,8.2102,9.9920,7.2823,7.8911,7.2376,1.8065,10.8292,6.7978,2.6034,11.2116,7.1956,6.1082,7.0973,11.2116,6.5820,5.1402,4.2357,8.1956,8.4233,7.8911,5.3175,8.1518,10.2524,9.0463,6.8118,8.5152,4.5014,4.4133,10.4252,3.0936,6.4566,5.6292,3.4737,3.1248,5.6384,7.6717,11.2116,10.1423,1.5184,10.9264,7.3457,10.7361,11.2747,7.9952,7.1956,2.1913,5.1534,7.7428,7.8911,8.4233,10.8495,8.5904,9.3579,9.4938,10.0302,5.9777,4.8393,4.9892,6.9950,3.9383,6.9261,8.9869,6.0809,3.9920,5.1291,2.2826,7.1582,4.6693,3.5402,8.8410,10.8292,7.3457,1.1129,4.4678,10.7774,9.9485,5.5400,8.4233,5.0207,2.3543,10.4294,0.9666
Khach hang 13,8.0100,8.9697,2.5335,7.9823,7.3279,8.4077,4.9547,4.3831,8.0469,7.9171,10.0496,8.9110,10.5091,0.0000,8.7297,3.5504,3.4989,7.4947,8.5022,6.2521,0.6264,5.2890,10.6453,6.1105,9.4347,3.5416,10.1131,8.0561,3.9240,5.3826,9.9629,9.0037,3.9240,5.0618,6.3554,7.3994,6.1932,7.2735,10.6453,5.7879,6.2168,2.9649,1.2374,5.3369,3.3699,8.3196,9.8636,1.0595,8.3841,7.6159,8.1153,9.0024,8.2321,8.1245,10.4190,3.9240,2.8548,9.5003,3.2319,7.9444,1.5796,3.9871,7.1956,5.3826,8.8187,5.8609,6.6877,10.6453,7.2735,3.5619,3.4452,0.0607,0.1966,0.6646,6.8593,8.9923,7.8317,4.3107,6.9518,9.6828,1.8040,5.6177,7.5904,6.1788,8.8500,5.3939,7.5470,7.5736,1.4901,3.5416,7.9444,9.6676,8.2014,1.5327,1.2371,5.8793,7.2735,9.1738,8.4456,1.6856,10.7841
Khach hang 14,1.8642,1.1924,7.2197,5.3215,6.4593,4.4293,3.9559,4.6179,1.5000,1.1765,1.5851,6.2502,2.0446,7.6975,0.0000,6.9583,6.9068,3.9514,5.8414,6.4728,8.3239,5.5449,6.2230,5.5695,1.4466,9.1610,5.1296,0.8220,9.5434,5.4582,4.4400,5.6050,9.5434,4.8446,3.4029,2.5676,6.4583,6.7552,6.2230,3.6494,6.4145,8.5843,7.3782,5.1437,6.7778,3.0091,3.8140,8.7571,1.9505,4.7192,4.1368,2.8401,1.9236,4.1461,6.0036,9.5434,8.4742,0.9025,9.2583,5.8534,9.0680,9.6066,6.3270,5.4582,1.5577,3.4853,6.0055,6.2230,6.7552,9.1814,6.8531,7.6898,7.8257,8.3621,4.3096,3.6662,3.4969,5.3269,2.2231,5.2580,7.3188,4.4128,2.3238,3.3918,1.5890,5.4209,3.0012,1.8721,7.1729,9.1610,5.8534,1.2743,2.7304,9.1093,8.2804,3.8719,6.7552,3.8476,0.8703,8.7613,2.3197
Khach hang 15,6.2484,7.2081,2.0923,6.6516,5.9972,5.3078,3.1931,2.6215,6.2852,6.1555,8.2879,7.5803,8.7474,3.5556,6.9681,0.0000,0.0515,6.2393,7.1715,2.7017,4.1820,3.5274,9.3146,4.7798,7.6731,5.0191,8.3515,6.2944,5.4015,1.8323,8.2012,5.4534,5.4015,3.3002,4.1110,5.6378,2.6428,5.9427,9.3146,4.0262,2.6664,4.4424,2.6661,4.0061,0.1804,6.1163,8.1019,4.6152,6.6225,5.0886,5.0961,7.2408,6.4705,5.0868,9.0883,5.4015,4.3323,7.7387,5.1164,4.3940,4.9260,5.4647,5.8649,1.8323,7.0570,4.0993,3.1374,9.3146,5.9427,5.0395,0.1052,3.5479,3.3719,4.2202,5.5286,7.2307,5.6284,3.3381,5.1902,8.3521,3.1769,3.8560,5.8288,4.4172,7.0883,1.8436,5.7854,5.8120,3.0310,5.0191,4.3940,7.9060,6.4398,4.9674,4.1385,4.1176,5.9427,7.4122,6.6840,4.6194,9.0225
Khach hang 16,6.1969,7.1566,2.0408,6.6001,5.9457,5.3593,3.1416,2.5700,6.2337,6.1040,8.2364,7.5288,8.6959,3.5041,6.9166,0.0515,0.0000,6.1878,7.1200,2.7532,4.1305,3.4759,9.2631,4.7283,7.6216,4.9676,8.3000,6.2429,5.3500,1.8838,8.1497,5.5049,5.3500,3.2487,4.1625,5.5863,2.6943,5.8912,9.2631,3.9747,2.7179,4.3909,2.6146,3.9546,0.1289,6.1678,8.0505,4.5637,6.5710,5.1401,5.1476,7.1893,6.4190,5.1383,9.0368,5.3500,4.2808,7.6872,5.0649,4.4455,4.8745,5.4132,5.8134,1.8838,7.0055,4.0478,3.1889,9.2631,5.8912,4.9880,0.0537,3.4964,3.3204,4.1687,5.4771,7.1792,5.6799,3.2866,5.1387,8.3006,3.1254,3.8045,5.7773,4.3657,7.0368,1.8951,5.7339,5.7605,2.9795,4.9676,4.4455,7.8545,6.3883,4.9159,4.0870,4.0662,5.8912,7.3607,6.6325,4.5679,8.9710
Khach hang 17,2.9724,4.9457,5.1067,1.6473,2.7851,5.5642,3.4538,3.8989,3.1195,3.9121,5.1974,2.5759,5.6569,5.5846,3.9679,6.2393,6.1878,0.0000,2.1672,6.8267,6.2109,4.3503,4.3103,2.5588,4.3639,7.0481,2.9909,4.0783,7.4305,4.8538,2.8407,6.7399,7.4305,3.7312,3.5119,1.9196,5.9562,3.0810,4.3103,2.3981,5.9124,6.4714,5.2653,2.2007,6.0588,5.3646,2.7652,6.6441,4.6805,4.7724,5.2718,2.5200,4.5996,5.2810,4.0840,7.4305,6.3613,4.6558,7.1454,6.5028,6.9550,7.4936,2.6528,4.8538,3.5326,2.2339,5.5034,4.3103,3.0810,7.0684,6.1341,5.5768,5.7127,6.2491,0.6354,1.8939,4.9882,3.2140,3.5279,3.3477,5.2058,3.1614,2.5421,2.3875,3.5865,4.9188,1.4722,2.4441,5.0600,7.0481,6.5028,5.0276,4.8667,6.9963,6.1675,2.6205,3.0810,2.0754,4.4823,6.6483,5.9320
Khach hang 18,4.8746,6.8357,6.1142,0.7026,2.9547,6.9798,4.8694,5.3145,5.0095,5.8142,7.0875,0.5605,7.5470,6.5921,5.8580,7.1715,7.1200,2.1672,0.0000,8.2423,7.2185,5.3578,2.4543,3.7202,6.2540,8.0556,2.1172,5.9683,8.4380,6.2694,3.6576,8.1555,8.4380,5.1468,4.9275,3.8096,7.3718,3.2505,2.4543,3.8137,7.3280,7.4789,6.2728,3.2083,6.9911,6.8917,4.6553,7.6516,6.5827,6.1880,6.6874,4.4101,6.5018,6.6966,2.2280,8.4380,7.3688,6.5459,8.1529,7.9184,7.9625,8.5012,2.8224,6.2694,5.4227,3.6495,6.9190,2.4543,3.2505,8.0759,7.0663,6.5843,6.7202,7.2567,1.7162,3.7840,6.4038,4.2215,5.4300,1.4918,6.2134,4.5770,4.3631,3.8031,5.4765,6.3344,3.3623,4.3463,6.0675,8.0556,7.9184,6.9177,6.6764,8.0038,7.1750,4.0361,3.2505,3.9655,6.3724,7.6558,7.8220
Khach hang 19,5.7133,6.6918,4.7940,7.7224,7.9681,2.8953,4.0997,3.8755,5.7502,5.6204,7.7529,8.6510,8.2124,6.2573,6.4330,2.7017,2.7532,6.8267,8.2423,0.0000,6.8837,5.3406,10.3854,6.7507,7.1380,7.7208,8.9389,5.7594,8.1032,2.4067,8.7886,3.4555,8.1032,5.1134,4.1790,6.2252,0.8705,7.9137,10.3854,5.0229,0.9143,7.1441,5.3678,5.9771,2.8821,3.7038,8.6894,7.3169,5.5579,2.6761,2.6836,7.6318,5.3162,2.6744,10.1591,8.1032,7.0340,7.2036,7.8181,2.0042,7.6277,8.1664,7.8358,2.4067,6.5220,5.0960,2.1906,10.3854,7.9137,7.7412,2.8069,6.2496,6.0736,6.9219,6.6463,7.8181,3.2159,5.3812,4.6552,9.4228,5.8786,5.6692,5.5971,4.7877,6.5533,2.3850,6.3728,6.4212,5.7327,7.7208,2.0042,7.3896,5.4891,7.6691,6.8402,4.8286,7.9137,7.9996,6.1677,7.3211,8.4874
Khach hang 20,8.0263,8.9860,2.5498,7.9987,7.3442,8.4241,4.9710,4.3994,8.0632,7.9334,10.0659,8.9273,10.5254,0.0829,8.7460,3.5667,3.5152,7.5110,8.5186,6.2684,0.0000,5.3054,10.6617,6.1268,9.4510,3.6626,10.1294,8.0724,4.0450,5.3989,9.9792,9.0201,4.0450,5.0782,6.3717,7.4157,6.2095,7.2898,10.6617,5.8042,6.2331,3.0859,1.2673,5.3532,3.3863,8.3359,9.8799,1.1424,8.4004,7.6323,8.1316,9.0187,8.2484,8.1408,10.4354,4.0450,2.9758,9.5166,3.3147,7.9607,1.6625,4.1082,7.2119,5.3989,8.8350,5.8772,6.7041,10.6617,7.2898,3.6829,3.4615,0.0906,0.2265,0.7474,6.8757,9.0086,7.8480,4.3271,6.9681,9.6991,1.8204,5.6340,7.6067,6.1951,8.8663,5.4102,7.5633,7.5899,1.5065,3.6626,7.9607,9.6839,8.2177,1.6156,1.3200,5.8956,7.2898,9.1901,8.4619,1.7685,10.8004
Khach hang 21,4.8350,5.7948,3.7382,4.7285,4.0741,5.2328,1.7798,1.3587,4.8719,4.7421,6.8746,5.6572,7.3341,4.6369,5.5547,3.5274,3.4759,4.2409,5.2484,5.3406,5.2632,0.0000,7.3915,2.8567,6.2597,6.1004,6.9381,4.8811,6.4828,2.7034,6.7879,6.4084,6.4828,1.4634,3.1805,4.2245,4.2396,4.0197,7.3915,2.6129,4.1958,5.5237,4.3176,2.0831,3.3470,5.1446,6.6886,5.6964,5.2091,4.4410,4.9403,5.8274,5.0572,4.9495,7.1652,6.4828,5.4136,6.3253,6.1977,6.1714,6.0073,6.5460,3.9418,2.7034,5.6437,2.6859,4.1523,7.3915,4.0197,6.1207,3.4222,4.6291,4.7650,5.3014,3.6055,5.8173,4.6567,2.2422,3.7769,6.4290,4.2582,1.2654,4.4154,3.0038,5.6750,2.8547,4.3720,4.3986,4.1123,6.1004,6.1714,6.4926,5.0264,6.0486,5.2198,2.7043,4.0197,5.9988,5.2707,5.7006,7.6091
Khach hang 22,6.6703,8.5456,8.2573,2.8457,5.1439,9.1229,7.0125,7.4576,6.7194,7.6100,8.7974,2.7030,9.2569,8.7352,7.5678,9.3146,9.2631,4.3103,2.4543,10.3854,9.3616,7.5009,0.0000,5.8633,7.9639,10.1987,2.5475,7.6782,10.5811,8.4125,3.9664,10.2986,10.5811,7.2899,7.0706,5.7669,9.5149,5.4397,0.0000,5.9568,9.4711,9.6220,8.4159,5.3514,9.1342,9.0348,6.4571,9.7947,8.3784,8.3311,8.8305,6.1200,8.2975,8.8397,0.5372,10.5811,9.5119,8.2557,10.2960,10.0615,10.1056,10.6443,5.0116,8.4125,7.1326,5.7926,9.0621,0.0000,5.4397,10.2190,9.2094,8.7274,8.8633,9.3998,3.8593,5.1688,8.5469,6.3646,7.2258,2.2339,8.3565,6.7201,6.5062,5.9462,7.1864,8.4775,5.1701,6.1420,8.2106,10.1987,10.0615,8.6275,8.5646,10.1469,9.3181,6.1792,5.4397,4.9864,8.0823,9.7989,9.5319
Khach hang 23,2.6437,4.8265,5.1531,3.1712,3.3107,4.7490,2.6386,3.0837,2.8642,3.5834,5.0783,4.0999,5.5378,5.6309,3.8488,5.4240,5.3725,2.2755,3.6911,6.0114,6.2573,3.6116,5.8342,0.0000,4.2448,7.0944,4.3877,3.9591,7.4768,4.0386,4.2375,5.9247,7.4768,2.9159,2.6967,1.9413,5.1410,3.6066,5.8342,1.5828,5.0972,6.5177,5.3116,2.2140,5.2436,4.6608,4.1382,6.6905,4.3519,3.9572,4.4565,3.2240,4.2710,4.4658,5.6079,7.4768,6.4076,4.5367,7.1917,5.6876,7.0013,7.5400,3.1784,4.0386,3.5342,1.4187,4.6882,5.8342,3.6066,7.1148,5.3188,5.6232,5.7591,6.2955,2.0951,3.2669,4.1730,3.2603,3.1992,4.8717,5.2522,2.3462,2.1323,1.5723,3.4673,4.1036,1.8216,2.1154,5.1063,7.0944,5.6876,4.9085,4.4455,7.0427,6.2138,1.8053,3.6066,3.4484,4.4134,6.6947,5.8128
