,Kho trung tam Vinh,Khach hang 01,Khach hang 02,Khach hang 03,Khach hang 04,Khach hang 05,Khach hang 06,Khach hang 07,Khach hang 08,Khach hang 09,Khach hang 10,Khach hang 11,Khach hang 12,Khach hang 13,Khach hang 14,Khach hang 15,Khach hang 16,Khach hang 17,Khach hang 18,Khach hang 19,Khach hang 20,Khach hang 21,Khach hang 22,Khach hang 23,Khach hang 24,Khach hang 25,Khach hang 26,Khach hang 27,Khach hang 28,Khach hang 29,Khach hang 30,Khach hang 31,Khach hang 32,Khach hang 33,Khach hang 34,Khach hang 35,Khach hang 36,Khach hang 37,Khach hang 38,Khach hang 39,Khach hang 40,Khach hang 41,Khach hang 42,Khach hang 43,Khach hang 44,Khach hang 45,Khach hang 46,Khach hang 47,Khach hang 48,Khach hang 49,Khach hang 50,Khach hang 51,Khach hang 52,Khach hang 53,Khach hang 54,Khach hang 55,Khach hang 56,Khach hang 57,Khach hang 58,Khach hang 59,Khach hang 60,Khach hang 61,Khach hang 62,Khach hang 63,Khach hang 64,Khach hang 65,Khach hang 66,Khach hang 67,Khach hang 68,Khach hang 69,Khach hang 70,Khach hang 71,Khach hang 72,Khach hang 73,Khach hang 74,Khach hang 75,Khach hang 76,Khach hang 77,Khach hang 78,Khach hang 79,Khach hang 80,Khach hang 81,Khach hang 82,Khach hang 83,Khach hang 84,Khach hang 85,Khach hang 86,Khach hang 87,Khach hang 88,Khach hang 89,Khach hang 90,Khach hang 91,Khach hang 92,Khach hang 93,Khach hang 94,Khach hang 95,Khach hang 96,Khach hang 97,Khach hang 98,Khach hang 99,Khach hang 100
Khach hang 10,315.14,217.41,833.81,662.74,776.04,581.52,523.60,590.24,275.41,254.11,0.00,760.74,92.61,863.94,165.84,819.93,814.87,521.47,716.23,807.93,924.77,690.70,748.31,688.95,152.83,1003.50,654.79,219.37,1043.98,688.64,566.87,703.20,1043.98,616.67,478.01,384.90,804.91,809.84,748.31,488.74,800.07,944.41,835.40,626.04,802.20,440.14,400.64,966.76,318.88,620.95,550.99,316.46,317.52,552.00,723.46,1043.98,936.91,118.96,1014.16,734.99,995.58,1050.96,762.55,688.64,179.64,471.47,754.90,748.31,809.84,1008.99,809.59,863.40,876.64,928.43,556.83,461.03,488.09,644.10,350.11,653.08,824.27,566.66,359.48,470.68,189.36,690.33,424.26,312.67,813.81,1003.50,734.99,115.97,419.36,996.11,926.87,512.97,809.84,479.76,234.98,963.87,119.27
Khach hang 11,533.71,734.94,671.38,119.45,365.86,741.87,532.99,586.81,552.48,624.71,760.29,0.00,808.11,701.51,637.08,796.07,791.01,269.88,61.90,910.44,762.34,611.50,291.29,434.93,675.62,841.07,256.06,645.18,881.55,696.33,423.25,863.56,881.55,576.65,542.03,439.82,814.30,399.66,291.29,432.86,809.46,781.98,672.97,376.52,778.34,731.53,524.82,804.33,699.34,671.78,711.34,499.27,694.37,712.36,266.29,881.55,774.48,707.60,851.73,847.38,833.15,888.53,352.37,696.33,606.63,415.59,764.28,291.29,399.66,846.55,785.73,700.97,714.21,766.00,224.23,433.88,683.58,481.67,584.77,186.98,661.84,510.77,483.41,428.80,604.49,699.71,389.29,480.81,651.38,841.07,847.38,742.19,724.64,833.67,764.44,457.08,399.66,452.60,689.05,801.43,834.77
Khach hang 12,357.56,217.36,876.24,705.16,818.47,599.38,564.09,630.73,317.84,296.54,87.21,803.17,0.00,906.37,208.26,860.42,855.36,563.90,758.66,848.43,967.20,731.19,790.74,731.38,195.26,1045.93,697.22,261.80,1086.41,729.13,609.29,721.06,1086.41,657.16,518.50,427.32,845.40,852.27,790.74,531.17,840.57,986.84,877.83,668.47,842.69,458.00,443.06,1009.19,318.83,661.45,568.85,358.88,317.47,569.87,765.88,1086.41,979.33,161.39,1056.59,752.85,1038.01,1093.38,804.98,729.13,222.06,513.90,795.39,790.74,852.27,1051.41,850.08,905.83,919.07,970.86,599.25,503.46,505.95,686.52,392.53,695.51,866.70,609.08,401.91,511.18,231.79,730.82,466.69,355.09,856.24,1045.93,752.85,115.92,459.85,1038.53,969.30,555.39,852.27,522.18,246.38,1006.29,102.62
Khach hang 13,780.18,873.45,258.07,835.16,782.11,819.05,479.87,426.16,780.17,767.57,978.87,933.17,1026.70,0.00,847.49,343.71,338.64,782.42,888.66,620.04,60.83,525.21,1117.47,632.94,916.20,346.07,1016.62,780.72,386.55,529.62,993.39,896.95,386.55,498.95,619.20,728.45,616.08,777.22,1117.47,566.56,618.69,286.98,126.28,561.39,325.97,808.70,982.16,102.82,815.57,748.96,788.52,891.26,806.41,789.54,1092.47,386.55,279.47,925.60,326.29,788.88,154.73,393.52,768.62,529.62,854.98,573.76,673.78,1117.47,777.22,351.55,333.37,5.89,19.13,64.49,716.46,891.22,760.75,450.49,673.86,1013.16,173.05,561.51,745.95,599.48,860.86,530.87,746.47,743.35,151.25,346.07,788.88,940.16,807.55,148.74,123.54,574.68,777.22,909.94,819.36,165.21,1053.36
Khach hang 14,189.80,123.52,708.48,537.40,650.71,445.66,387.74,454.38,150.08,118.25,168.89,635.41,216.71,738.61,0.00,684.07,679.01,396.14,590.90,672.08,799.44,554.84,622.98,563.62,145.35,878.17,529.46,83.51,918.65,552.78,441.53,567.34,918.65,480.81,342.15,259.56,669.05,684.51,622.98,363.40,664.22,819.08,710.07,500.71,666.34,304.28,379.02,841.43,198.07,485.10,415.13,292.28,194.67,416.14,598.12,918.65,811.57,96.18,888.83,599.13,870.25,925.62,637.22,552.78,155.46,346.14,619.04,622.98,684.51,883.65,673.73,738.07,751.31,803.10,431.49,366.18,352.23,518.76,219.78,527.75,698.94,441.32,234.15,334.83,161.34,554.47,298.93,187.33,688.48,878.17,599.13,130.78,283.50,870.77,801.54,387.63,684.51,384.90,94.97,838.53,243.37
Khach hang 15,617.71,710.98,220.37,698.07,645.02,542.51,317.40,263.69,617.70,605.10,816.40,796.07,864.23,344.30,685.02,0.00,5.06,629.54,751.56,276.34,405.13,362.74,980.37,495.85,753.73,483.86,854.15,618.25,524.34,185.92,830.92,553.24,524.34,336.48,437.61,565.98,272.38,640.13,980.37,404.09,274.98,424.77,262.33,424.29,17.73,612.77,819.69,447.12,653.11,515.25,520.69,728.80,643.94,519.67,955.38,524.34,417.27,763.13,494.52,445.18,475.94,531.32,631.53,185.92,692.51,411.29,330.07,980.37,640.13,489.35,10.34,343.76,331.32,408.79,579.36,728.75,564.82,357.24,511.39,876.07,304.63,399.04,583.48,437.01,698.39,187.16,584.01,580.88,294.17,483.86,445.18,777.70,645.08,476.47,407.23,412.21,640.13,747.47,656.89,444.23,890.89
Khach hang 16,612.65,705.92,215.31,693.01,639.96,547.57,312.34,258.62,612.64,600.04,811.34,791.01,859.17,339.24,679.96,5.06,0.00,624.48,746.50,281.40,400.07,357.68,975.31,490.79,748.67,478.80,849.09,613.19,519.28,190.98,825.86,558.30,519.28,331.42,442.67,560.92,277.44,635.06,975.31,399.03,280.04,419.71,257.26,419.23,12.67,617.84,814.63,442.06,648.04,520.31,525.75,723.73,638.88,524.73,950.32,519.28,412.21,758.07,489.46,450.24,470.88,526.26,626.46,190.98,687.45,406.23,335.13,975.31,635.06,484.28,5.28,338.70,326.26,403.73,574.30,723.69,569.88,352.18,506.33,871.01,299.57,393.98,578.42,431.95,693.33,192.23,578.94,575.82,289.11,478.80,450.24,772.63,640.02,471.40,402.17,407.15,635.06,742.41,651.83,439.16,885.83
Khach hang 17,298.22,495.66,520.63,171.88,285.18,554.91,346.02,399.85,313.21,389.22,521.01,269.88,568.84,550.77,397.81,629.54,624.48,0.00,225.37,723.47,611.59,460.76,454.18,280.25,436.35,690.32,317.75,405.91,730.81,509.37,294.51,676.59,730.81,389.68,355.06,200.55,627.33,318.98,454.18,245.89,622.49,631.24,522.23,225.77,611.81,536.96,285.55,653.59,463.86,484.81,524.38,260.00,458.88,525.39,429.18,730.81,623.73,468.33,700.99,660.41,682.41,737.78,271.69,509.37,367.36,228.62,577.32,454.18,318.98,695.81,619.20,550.23,563.46,615.26,65.97,194.60,496.61,330.92,349.28,349.87,511.10,323.80,263.53,241.84,365.22,512.74,150.02,245.32,500.63,690.32,660.41,502.92,491.08,682.93,613.70,270.11,318.98,213.33,449.78,650.69,595.50
Khach hang 18,489.20,690.43,626.87,74.94,318.92,697.36,488.48,542.31,507.97,580.20,715.78,61.90,763.60,657.00,592.57,751.56,746.50,225.37,0.00,865.93,717.83,566.99,263.83,390.42,631.11,796.56,228.60,600.67,837.04,651.82,395.79,819.05,837.04,532.14,497.52,395.31,769.79,352.72,263.83,388.35,764.95,737.47,628.46,332.01,733.83,687.02,480.31,759.82,654.84,627.27,666.83,454.76,649.86,667.85,238.83,837.04,729.97,663.09,807.22,802.87,788.64,844.02,305.43,651.82,562.12,371.08,719.77,263.83,352.72,802.04,741.22,656.46,669.70,721.49,179.72,389.37,639.07,437.16,540.26,159.52,617.33,466.26,438.90,384.29,559.98,655.20,344.78,436.30,606.87,796.56,802.87,697.68,680.13,789.16,719.93,412.57,352.72,408.09,644.54,756.92,790.26
Khach hang 19,601.59,693.73,496.71,812.44,850.53,317.49,451.93,428.07,601.59,588.99,800.29,910.44,848.11,620.64,668.91,276.34,281.40,723.47,865.93,0.00,681.47,555.14,1094.74,701.36,737.62,760.19,948.09,602.14,800.68,265.82,924.86,381.67,800.68,528.88,438.01,659.92,96.15,845.64,1094.74,548.37,100.98,701.11,538.66,629.81,294.07,387.75,913.63,723.46,579.40,290.23,295.67,792.41,555.39,294.65,1069.75,800.68,693.60,747.02,770.86,221.37,752.28,807.65,837.04,265.82,676.40,555.57,241.96,1094.74,845.64,765.68,286.67,620.10,607.66,685.13,699.98,822.69,339.80,566.43,495.28,990.44,580.97,591.44,591.35,518.13,682.27,263.43,677.94,667.91,570.51,760.19,221.37,760.45,575.90,752.80,683.57,530.76,845.64,841.41,639.64,720.56,874.78
Khach hang 20,782.00,875.27,259.90,836.99,783.93,820.87,481.69,427.98,782.00,769.40,980.70,934.99,1028.52,8.05,849.32,345.53,340.47,784.24,890.48,621.86,0.00,527.03,1119.29,634.76,918.02,354.10,1018.45,782.55,394.58,531.45,995.21,898.77,394.58,500.78,621.03,730.28,617.91,779.04,1119.29,568.38,620.51,295.01,129.18,563.21,327.80,810.53,983.99,110.87,817.40,750.78,790.34,893.09,808.24,791.36,1094.29,394.58,287.51,927.43,334.34,790.71,162.78,401.56,770.44,531.45,856.81,575.58,675.60,1119.29,779.04,359.59,335.19,8.79,22.02,72.54,718.28,893.04,762.58,452.31,675.69,1014.98,174.87,563.33,747.78,601.30,862.68,532.69,748.30,745.18,153.07,354.10,790.71,941.99,809.37,156.79,131.59,576.51,779.04,911.76,821.18,173.26,1055.18
Khach hang 21,488.47,581.75,389.64,499.12,446.07,527.35,188.17,149.06,488.47,475.87,687.17,597.12,734.99,463.25,555.79,362.74,357.68,446.38,552.61,555.14,524.07,0.00,781.42,296.90,624.50,602.80,724.92,489.02,643.28,297.59,701.69,649.03,643.28,161.64,327.50,436.75,467.27,441.18,781.42,274.85,462.43,543.72,434.70,225.34,345.01,517.00,690.46,566.07,523.87,457.25,496.82,599.56,514.71,497.83,756.43,643.28,536.21,633.90,613.46,632.85,594.88,650.26,432.58,297.59,563.28,282.06,457.62,781.42,441.18,608.29,352.40,462.71,475.94,527.74,380.41,599.52,469.05,241.03,382.16,677.12,423.57,139.77,454.25,307.78,569.16,314.30,454.77,451.65,413.11,602.80,632.85,648.46,515.85,595.41,526.18,282.98,441.18,618.24,527.65,563.17,761.66
Khach hang 22,704.48,895.12,855.68,303.76,550.16,926.18,717.29,771.12,712.66,795.48,920.47,291.29,968.30,885.81,797.26,980.37,975.31,454.18,263.83,1094.74,946.64,795.80,0.00,619.23,835.80,1025.37,279.92,805.36,1065.85,880.64,435.34,1047.86,1065.85,760.95,726.33,616.56,998.60,583.96,0.00,617.16,993.76,966.28,857.27,560.82,962.64,915.83,691.40,988.63,870.12,856.08,895.65,659.46,865.15,896.66,59.33,1065.85,958.78,867.78,1036.03,1031.68,1017.45,1072.83,536.67,880.64,766.82,599.89,948.59,0.00,583.96,1030.86,970.04,885.27,898.51,950.30,408.53,560.15,867.88,665.97,755.55,243.27,846.14,695.07,667.71,613.11,764.68,884.01,556.29,651.59,835.68,1025.37,1031.68,902.38,897.34,1017.98,948.74,641.38,583.96,541.34,849.23,985.74,994.96
Khach hang 23,262.93,479.50,507.14,322.28,352.93,471.09,262.20,316.03,285.11,353.92,504.85,420.28,552.68,537.28,381.65,545.73,540.66,233.32,375.77,639.66,598.11,379.76,604.59,0.00,420.19,676.83,457.93,389.75,717.32,425.55,434.70,592.78,717.32,305.87,271.25,195.13,543.52,386.73,604.59,162.07,538.68,617.75,508.74,235.43,527.99,460.75,423.47,640.10,428.56,401.00,440.56,333.52,423.59,441.58,579.59,717.32,610.24,452.17,687.50,576.60,668.92,724.29,339.43,425.55,353.66,144.81,493.50,604.59,386.73,682.32,535.39,536.74,549.97,601.77,209.82,332.53,412.80,317.43,313.99,500.28,497.61,239.99,212.63,158.02,349.06,428.93,187.78,210.03,487.15,676.83,576.60,486.76,453.86,669.44,600.21,186.30,386.73,351.25,432.35,637.20,579.34
Khach hang 24,231.82,243.28,749.95,578.88,692.18,546.71,457.60,524.24,192.10,219.30,152.83,676.88,200.65,780.08,145.42,753.93,748.87,437.61,632.37,741.93,840.91,622.56,664.45,605.09,0.00,919.64,570.93,184.56,960.12,622.63,483.01,668.39,960.12,548.67,412.00,301.04,738.91,725.98,664.45,404.88,734.07,860.55,751.54,542.18,736.20,405.33,279.15,882.90,302.71,554.95,516.18,198.21,299.32,517.19,639.60,960.12,853.05,132.42,930.30,671.08,911.72,967.10,678.69,622.63,94.95,387.61,688.90,664.45,725.98,925.12,743.59,779.54,792.78,844.57,472.97,344.84,453.28,560.24,266.79,569.22,740.41,482.79,276.17,400.83,104.67,624.32,340.40,228.81,729.95,919.64,671.08,153.64,384.55,912.24,843.01,429.11,725.98,363.56,202.84,880.00,208.71
Khach hang 25,915.95,1009.22,393.84,970.93,917.88,954.82,615.64,561.93,915.94,903.34,1114.64,1068.94,1162.47,351.08,983.26,479.48,474.41,918.19,1024.43,755.81,343.03,660.98,1253.24,768.71,1051.97,0.00,1152.39,916.49,44.42,665.39,1129.16,1032.72,44.42,634.72,754.97,864.22,751.85,912.99,1253.24,702.33,754.46,71.49,332.69,697.16,461.74,944.47,1117.93,244.68,951.34,884.73,924.29,1027.03,942.18,925.31,1228.24,44.42,150.14,1061.37,162.41,924.65,236.51,51.39,904.39,665.39,990.75,709.53,809.55,1253.24,912.99,75.82,469.14,351.82,365.05,283.34,852.23,1026.99,896.52,586.26,809.63,1148.93,179.23,697.28,881.72,735.25,996.63,666.64,882.24,879.12,230.63,0.00,924.65,1075.93,943.32,223.11,246.24,710.45,912.99,1045.71,955.13,221.04,1189.13
Khach hang 26,439.71,630.34,810.93,268.53,514.94,779.85,570.96,624.79,447.88,530.70,655.69,256.06,703.52,841.07,532.48,854.48,849.42,320.91,228.60,948.42,901.89,688.52,273.24,570.55,571.02,980.62,0.00,540.59,1021.10,734.31,170.56,901.53,1021.10,614.62,580.00,351.78,852.27,548.74,273.24,470.83,847.43,921.54,812.52,516.07,836.75,678.45,426.62,943.89,605.34,709.76,749.32,394.68,600.37,750.34,248.39,1021.10,914.03,603.00,991.28,885.35,972.70,1028.08,501.45,734.31,502.04,453.56,802.26,273.24,548.74,986.11,844.14,840.53,853.76,905.56,356.26,295.37,721.55,621.22,490.77,69.08,801.39,548.75,411.04,466.78,499.90,737.69,291.51,386.81,790.93,980.62,885.35,637.60,632.56,973.23,904.00,495.06,548.74,276.56,584.45,940.99,730.18
Khach hang 27,157.40,151.19,646.79,544.10,657.41,381.47,323.56,390.20,117.67,54.07,217.48,642.11,265.31,745.31,86.11,619.89,614.83,402.84,597.60,607.89,806.14,490.66,629.68,570.32,182.67,884.87,536.16,0.00,925.35,488.60,448.23,503.16,925.35,416.63,277.97,266.26,604.87,691.21,629.68,363.03,600.03,825.78,696.53,507.41,602.16,240.10,416.35,848.13,137.48,420.91,350.95,308.49,134.09,351.96,604.82,925.35,818.27,164.21,895.53,534.95,876.95,932.32,643.92,488.60,186.27,347.22,554.86,629.68,691.21,890.35,609.55,744.77,758.01,809.80,438.19,372.88,288.05,525.46,155.60,534.45,705.64,448.02,201.75,270.64,192.14,490.29,305.63,194.03,695.18,884.87,534.95,198.81,219.32,877.47,808.24,335.14,691.21,391.60,95.69,845.23,291.97
Khach hang 28,958.58,1051.85,436.47,1013.56,960.51,997.45,658.27,604.56,958.57,945.97,1157.27,1111.57,1205.10,393.71,1025.89,522.11,517.04,960.82,1067.06,798.44,385.66,703.61,1295.87,811.34,1094.60,44.42,1195.03,959.12,0.00,708.02,1171.79,1075.35,0.00,677.35,797.60,906.85,794.48,955.62,1295.87,744.96,797.09,106.97,375.32,739.79,504.37,987.10,1160.56,287.31,993.98,927.36,966.92,1069.67,984.81,967.94,1270.87,0.00,194.55,1104.00,173.13,967.28,279.14,16.53,947.02,708.02,1033.38,752.16,852.18,1295.87,955.62,71.35,511.77,394.45,407.68,325.97,894.86,1069.62,939.15,628.89,852.26,1191.56,221.86,739.91,924.35,777.88,1039.26,709.27,924.88,921.75,273.26,44.42,967.28,1118.57,985.95,265.74,288.88,753.08,955.62,1088.34,997.76,263.67,1231.76
